P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,response_IC50,category_IC50
67.4883573027,58.921332001514294,34.816252071787375,22.396540996859862,18.563882498795422,20.49561394626608,9.163688627514318,22.65751252502136,36.802465448278376,32.516949823733995,17.958214697703895,18.156782967582714,23.40386954490244,4.407772095022289,20.857413490164845,25.023285226288852,25.27408937851862,27.280726390109837,17.167404841115367,6.37288358349723,22.191976645901008,23.885799990916254,37.95026667990506,51.70494572925862,27.595813338994276,30.51446602901842,49.39094514672037,48.865946341148096,14.335564779866678,41.37084983917628,59.86075639085161,33.78821671008502,1.1330571695,Class I
65.99360267680001,63.4024437601764,37.02278043294268,13.75784081553902,25.801603290473338,12.019333794431352,14.813837131563329,25.51027156110312,37.22585649031821,25.5558771677026,24.92976831252296,18.240955979110392,30.020174477510427,2.837657049660217,28.953828702630027,28.190218136385766,32.542746673443425,23.103783543015965,20.492495706322227,6.268698908209647,17.697305081488526,23.54466972816346,34.86645701488053,45.33934757251439,32.723837404691544,27.146957377261398,43.60291923647018,49.017563091790265,15.240645346015388,45.465599982426596,56.201593457743506,26.670848478854317,362.0,Class III
67.3009961875,57.19730932108368,41.69439556203933,54.23206346771326,72.71639589412275,68.16796982078087,37.58067163293477,17.08398427044402,46.39136058037987,51.843443561422305,27.38796796938619,12.623725792130642,41.83132786008709,45.473979501694316,24.18918127695929,7.7116257539326,25.23252868590952,22.800801309611487,6.796521142220216,12.483041441261793,14.917049378194662,2.3724957384114083,16.20474733258788,29.209386733347536,31.187414730311843,25.693313780524306,23.35091212281621,29.181827725227247,33.39440481230521,28.226489985697746,14.383327448988625,5.353425781599376,350.0,Class III
61.5240054466,51.75447642332238,46.39483647826666,29.36968068414847,32.25813575548632,23.107033183144953,14.148122277633679,25.076355460487832,24.61778670507576,41.59893626037368,20.211966999494813,15.433221904008779,21.901082553211996,12.623165764935317,8.803205288397818,8.135751940457714,6.338589814697074,8.981801946375407,18.19490243469193,3.607606096141939,19.54020361785951,28.933313112998157,56.68101417616108,40.04768947667082,31.533401795214296,31.579510808313568,42.59566880645413,54.69602122240111,18.789267715789148,21.4064016401891,42.25974967493935,65.63878109101327,218.5309909725,Class III
59.8980665476,70.30005857628001,34.19309045013629,17.56528118925857,17.847805809823807,10.008736260965858,20.340700193791236,33.943904670720286,29.86047983770952,23.789448283234293,34.29548821610923,25.086234699612348,22.898814451506013,1.5615335158783095,19.154612430079386,26.327306083705885,22.752230991230082,26.0972889208209,19.88835324681239,3.1171073415407387,23.98697522969922,12.844925914185696,36.099217868081624,45.01458123493594,33.423295261126775,32.18317116469295,48.76046929501504,49.82138508698043,21.053834523573368,48.86885334350247,58.50947011789753,31.41579851605386,1.5,Class I
74.2326262481,69.03019558729137,37.045745183225584,14.644260580131842,33.19891839239088,14.415942560020069,8.609849892692736,27.734343102827566,34.19018218352108,18.943306944962174,26.83279423236238,11.338613093461827,23.09894222157132,9.438567601641504,33.001119402834824,34.572495128837126,40.28557496008292,31.320573300927336,28.64593158557682,12.747923139527908,12.738444250024841,29.17954777287379,41.343769178962006,44.45110650210228,27.922914990003385,23.725806218933894,36.519483393807434,41.454164771675494,17.04788469131733,46.293101890188495,49.99044838226335,26.467275128862305,0.7,Class I
71.0833396735,69.78072817505661,46.08838410507995,18.801982375019428,22.83404475933353,4.1378463885999865,9.361073538597616,30.86191071842539,46.53567543267214,33.734734548629355,29.782492054750737,27.135765807385404,31.364924228610818,7.223414474314627,36.38212349105284,29.351618328961862,21.76442650250894,15.565479970775735,23.009968138439106,9.0333260855226,12.089417386725199,13.635763338557242,30.305748921655123,44.26738688118311,29.848657691996923,21.148987909466477,41.52797087188935,48.43030643524179,13.711654740476327,45.27200476151517,57.61562227162012,33.609729679884325,0.4495523582,Class I
128.5804734271,90.58128350617127,17.189046995307336,31.749837985829718,32.77669682203848,37.787015445873614,10.869647858595883,44.94005800080618,42.40636804456653,13.087500040262837,30.6952883683697,28.740895757760455,44.170135137903515,31.319798733153267,18.369434404524927,14.504404450259514,29.512080208133913,36.556117714544925,9.816486061368991,39.29013503805012,40.26054361367416,24.547217152330052,51.96660802520207,42.52754780147337,4.910674191633817,40.45699223787482,28.25110220858179,7.247364026579326,27.691771840469144,37.70878982512155,27.464203009835533,21.084165169157412,488.0,Class III
68.04951285370001,64.75441741263162,36.856462019234044,13.522150447105004,27.602870324923032,12.147495245846773,13.05663095388634,25.838183233116293,36.31741594204958,23.811022354580718,25.166680704037493,16.40346812622061,28.226904208885493,3.944757629540103,29.80239336163803,29.697335824515452,34.453294807737215,25.152783681464385,22.521216645283726,7.5716832953535365,16.21176942458235,24.814804178501138,36.41616180970499,44.97824860606364,31.392410308122642,26.092446292591653,41.79571839520031,47.10902816258465,15.301188937379047,45.53411950684679,54.60147896709573,26.38035074900906,0.4,Class I
74.3518678909,72.82328085341793,48.76742921729993,12.135415857015541,11.402639131945339,17.4633920747986,23.261724559250652,13.49067659035691,27.50936627633346,19.72220079835446,20.00604620130137,16.998095886113628,34.69026010830123,15.659545937360567,24.766606022833734,13.85968779618105,26.554582987603098,27.97417106842936,28.91276854047908,15.008915048720134,12.292005409208008,10.266339634082568,32.48124181583932,49.663978028520695,37.35793488607956,22.292843806307705,37.00256049223457,43.399561836090896,12.694125099703196,56.02410172397151,68.26946116252272,25.622593648649282,8.0918696939,Class I
46.17402189039999,59.6767045340172,47.825464174583715,14.04640857428973,18.350490724709168,12.933582589696123,20.59665588302659,39.47942064294704,22.32118078741446,12.630903722895779,30.734950889341885,21.72069576828221,6.043069186794945,15.464920564821526,14.937908417404836,27.1381082543793,46.62358507461508,39.671556316757645,18.128718887567388,15.513774535094143,25.821754414539576,8.30686168677358,39.390121943887245,38.606305989135215,29.868393358996826,38.86731712402534,19.244815484315023,19.539295856192332,17.748037978933127,17.806312852526997,18.37950378862984,18.719987626509074,1.5,Class I
126.2603193733,93.8580510081589,36.62700708405012,36.35366391182372,22.941137523213598,11.088271634000268,15.295700748003256,24.655870850366107,46.36587780355378,38.97192382779207,44.35706264700458,61.72874558772232,45.135256463782056,17.24260191656891,23.734081420357512,12.243373897098087,14.119399359599036,33.0940869873673,38.23491800744565,35.4352636765622,31.608221205033992,28.15954627595057,22.387403704843827,19.140008508558065,25.29263291300987,33.78345582317189,30.029592119668244,11.70184486471967,22.363915642683768,33.17473280001006,23.09831103033843,4.559816164327455,338.0,Class III
26.484300747599995,21.202103636558867,14.082468221086495,13.330043781934362,10.975141680846884,17.86473971781914,22.947254412861934,17.558539238616113,20.00554435792089,28.411882547730983,24.893841374736212,19.842361094193027,24.919860454088727,20.375853204459393,4.088273319042344,15.4584911067606,20.865227832965907,19.17575497969185,24.379504466993662,24.489620583699143,11.40059170682439,6.818420629825926,16.87280294312625,13.70758575172092,5.51203559419948,7.8663952917611875,6.200030267907778,5.722438098898871,11.03210939515934,10.505258100730575,6.624383089980869,8.898632304388192,0.39,Class I
94.3135096032,83.14335111072431,48.66502651881561,15.204995245358312,53.07494673339347,61.6056234631657,31.433481225346643,23.88269075584532,41.499093671698596,29.755023256297676,23.98624460208793,31.35211579135805,27.034441748898352,25.726166214764927,32.80468447003478,34.09710292669258,20.659582296640995,16.155696382549234,25.73260002405011,21.360428839953236,14.385171436543837,21.323080232918684,32.61462683729052,29.928055065276137,18.362414606794726,26.806091631998008,27.227054822937113,12.90969339087084,11.537048017529147,18.399011244952977,18.50201137246091,12.14337817586847,16.6924641112,Class II
