P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,response
1128.3984954683,1279.5071284105381,1043.114230306605,829.9932116741189,769.149788783184,1625.2950778920488,387.2452556709649,613.7469032568301,63.26161549096631,635.7424612496376,1328.5232904095694,1456.8013580555696,325.7067224771054,560.1328187257052,188.62007303095172,1043.7825257330037,1345.5247434462528,1060.0118608888852,987.7730341753488,854.6650540043588,888.7804233096389,1671.6526856119087,1623.2923711541853,422.4835741252187,1393.2203498263125,873.8278028179047,466.94939526593294,599.7180795851701,5500.0
1272.9263395605,1884.9679583188854,1841.9959769561683,957.8890742092648,1198.620153112935,295.4502487194869,841.6967587789094,570.9675944072477,600.2772857207782,889.3510153777935,595.5065415569916,974.3044812911587,743.9106429444818,630.5660394596499,983.8781051429067,634.4227113762569,1371.7461484912394,965.2778756917513,1641.2919205789838,1548.2719436689845,851.4171536284896,470.7188150055803,758.8352472496259,583.7847519614588,268.74568796058503,411.55425266640395,200.24926694495113,85.82835313046739,0.23069487600000002
3274.582197788,2424.388002785332,415.6365448104666,1523.827996340501,515.3886086121718,278.4141096046233,877.0100814419966,1001.5349690272693,353.7246069322737,357.4493050585082,350.31826970355024,382.8176677551316,823.1850212611832,633.061635917465,361.8295302631863,1441.6301111522334,2391.3299331011626,1020.0981607898894,998.6397094925189,801.5397481057112,1000.6353228541028,294.5772843514372,208.72623606022168,830.6693005025893,580.3122717297866,1479.7169840721222,462.5303189561705,1131.4063494854067,1.4
1723.798944409,1653.4601325243555,1540.5436299390467,1416.4122349534578,929.964340414774,299.449241742153,802.1698202625555,529.8911082566101,424.8703289634324,604.7547911851567,196.60704245228095,836.9716236285728,832.4567345418474,528.3698712696804,587.1625958252184,1525.4188931007257,1002.6142273219516,531.6251639741582,826.8449674665469,291.7777734679071,621.324889478832,416.7558634995162,697.1817911584296,289.7237520960828,347.0179862518893,193.48801976604415,362.7496752466426,211.48667671368852,1076.0920929064
871.4366049018001,2604.6025370743905,1394.327250092634,1065.5964544322742,350.23584413548775,1030.3988277142018,1391.0550598115249,651.6679920557802,1031.3737370831864,1075.7372119867673,512.9459601616768,489.2018905388419,477.69364836733575,327.0372659444776,359.0839719121968,408.6307554627889,547.1609940553665,1118.0464503857938,2202.6035218212483,1987.7647239860264,887.0414215726746,136.20642767330344,3.37865522513171,829.8867854410528,1248.4737437631873,248.7212089637602,435.5505774749438,486.50735486157606,218.57589064209998
316.96646721980017,397.7566507424731,505.38209197011105,511.5300727400397,401.7633358361033,283.3295107615314,365.8853010109183,534.7149152927241,622.5534142033582,587.201425911803,459.5338778453289,328.41310209110355,292.07803937857767,305.2590594805237,267.2048805393498,169.51536344309312,126.63988363417742,225.11795370800698,315.36818003923133,357.4951128944851,362.55067876921163,334.92259679429725,247.13215485066172,68.73315096770912,228.91340749608824,578.1386487836729,919.3949209824079,1168.3629245350724,44312.5228596348
868.6922349327999,634.0397942407268,630.0190986129955,899.1014577858283,912.161419527077,596.5971632720642,608.6244087457869,1251.2172348386023,1202.4513939464994,553.9115833194517,556.8003701645877,661.3639033418805,264.6870051721879,463.62762970778215,1054.979083631176,1033.9053265294342,509.5125608545855,182.78255767616685,484.38472213376815,995.1946035217547,1071.4305371208136,873.6363871082164,843.2567008492422,573.4172516848076,567.1528035376203,682.2769274468515,481.58572788414824,504.5600263186843,136000.0
416.7189341136001,100.63000421703869,587.0009194021926,990.3304007829157,788.5431748056972,395.49213501615037,594.9449844985916,619.4395969400834,691.4689764068141,952.4056384721557,917.5824923273786,677.9422328862687,579.0701469633985,420.53469917266966,147.46358396928164,402.09734215280304,634.2312530642469,678.6940857930724,559.2674204838165,654.093855463229,959.8332965459248,953.353923402388,555.5573631227427,178.08085874784007,276.6581204989351,523.8691336781384,1024.9994115034667,1437.2235788006985,100000.0
1854.6230368600002,1596.0387022879618,1538.2619334335025,1449.7887392796245,998.4693306890348,58.26819392007343,863.4652029554705,777.1361497012413,603.775840113058,505.0956131963125,313.8715366088995,959.135885419421,680.3743952496735,277.52113511180835,690.8121145728676,766.3294497873667,1644.812003491232,283.25152589640726,1655.8744469251774,950.1189606340232,1368.3500278116137,446.10145017495955,1309.3437634242855,210.63932961205643,439.24592766361184,122.07828731010372,506.37366950737794,275.86547771417827,394.2481757274
1085.099754561,1962.6077851781054,2028.353114654097,788.9401432357133,1259.5554765606948,412.6746880836306,991.1403809277816,621.0332270927099,438.1286654969113,694.7696958231128,403.62872460116614,871.6875467318441,881.1500814059444,444.87242723829,1090.5685437394093,453.11218132464614,1550.5384526739447,1075.711535795744,1752.394746021226,1518.3378754269745,715.2465400983325,419.25211446548474,576.0167119503262,703.5710165095949,436.5836458923333,592.2053465932723,74.1144123445634,274.45534126246247,362.0
